	Beta	Beta.E	Beta.W	GeneID	MeanExpLev	MeanExpLev.E	MeanExpLev.W	PeakPhase	PeakPhase.E	PeakPhase.W	Period	Period.E	Period.W	Phase	Phase.E	Phase.W	pMMC.Beta	pMMC.Beta.E	pMMC.Beta.W	RelAmp	RelAmp.E	RelAmp.W	phase.diff	amp.diff	exp.diff.log2
HanXRQChr01g0003671	26.861	15.092	38.567	HanXRQChr01g0003671	78.947	76.051	82.709	20.817	21.021	20.748	25.7	27.3	24.7	4.883	6.279	3.952	0.0004548	0.012244	0.00040047	0.340240921124299	0.198445779805657	0.466297500876567	-0.273000000000003	0.26785172107091	0.121077106977041
HanXRQChr01g0022041	18.613	14.813	22.446	HanXRQChr01g0022041	24.406	23.956	25.002	17.625	18.25	17.168	23.5	25	23.2	5.875	6.75	6.032	0.00018881	0.00012731	0.00050914	0.762640334344014	0.618341960260478	0.897768178545716	-1.082	0.279426218285239	0.061656468445318
HanXRQChr02g0056551	23.094	15.397	30.443	HanXRQChr02g0056551	49.098	45.888	51.757	8.17	7.995	8.322	21.5	20.5	21.9	-8.17	-7.995	-8.322	0.02125	0.037358	0.009994	0.470365391665648	0.335534344490934	0.588190969337481	0.326999999999999	0.252656624846546	0.173637067417629
HanXRQChr03g0075911	25.814	19.994	31.745	HanXRQChr03g0075911	44.118	43.701	44.632	17.538	17.068	17.862	23.7	25.1	22.9	6.162	8.032	5.038	0.00076361	0.0037042	0.00078934	0.585112652432114	0.457518134596462	0.711260978670013	0.793999999999997	0.25374284407355	0.0304121635339807
HanXRQChr07g0203691	9.9266	5.6921	14.279	HanXRQChr07g0203691	15.818	12.787	18.926	18.642	18.564	18.8	23.9	23.8	23.5	5.258	5.236	4.7	0.0012638	0.013485	0.0014652	0.627550891389556	0.445147415343708	0.754464757476487	0.236000000000001	0.309317342132779	0.56569170192722
HanXRQChr09g0257601	8.6165	5.8474	11.516	HanXRQChr09g0257601	17.719	16.599	18.883	19.12	19.513	19.024	23.9	24.7	23.2	4.78	5.187	4.176	0.00024602	0.002509	0.00079792	0.486285907782606	0.352274233387553	0.609860721283694	-0.488999999999997	0.257586487896141	0.185991658670837
HanXRQChr10g0299611	12.299	8.8011	16.211	HanXRQChr10g0299611	13.465	11.961	15.009	18.25	18.27	18.403	25	26.1	23.9	6.75	7.83	5.497	0.00047768	0.0011209	0.00051486	0.913405124396584	0.73581640331076	1.08008528216403	0.132999999999996	0.344268878853275	0.327489846995372
HanXRQChr11g0343881	13.224	7.0605	22.383	HanXRQChr11g0343881	40.383	34.541	46.235	19.076	15.925	19.84	25.1	24.5	24.8	6.024	8.575	4.96	0.0018966	0.038342	0.00078077	0.327464527152515	0.204409252772068	0.484113766627014	3.915	0.279704513854946	0.420675537560195
HanXRQChr13g0398901	22.962	14.1	33.438	HanXRQChr13g0398901	58.523	53.496	63.758	19.032	17.028	19.824	24.4	25.8	23.6	5.368	8.772	3.776	0.00049198	0.0014438	0.0007579	0.392358559882439	0.263571108120233	0.524451833495404	2.796	0.260880725375171	0.25317535226492
HanXRQChr13g0414311	4.4633	2.6142	6.2274	HanXRQChr13g0414311	11.063	10.063	12.078	22.517	22.352	22.659	25.3	25.4	24.9	2.783	3.048	2.241	0.00012874	0.00027462	0.00024316	0.403443912139564	0.259783364801749	0.515598609041232	0.307000000000002	0.255815244239483	0.263321109936663
HanXRQChr14g0439261	4.8925	2.4912	8.244	HanXRQChr14g0439261	11.947	10.375	13.339	18.32	15.96	19.068	22.9	22.8	22.7	4.58	6.84	3.632	0.0013238	0.021576	0.00015734	0.409517033564912	0.240115662650602	0.618037334132993	3.108	0.377921671482391	0.362539177955168
HanXRQChr15g0476671	6.8809	9.7287	3.9552	HanXRQChr15g0476671	9.0061	11.29	6.6537	10.062	10.105	10.019	23.4	23.5	23.3	-10.062	-10.105	-10.019	0.00016879	0.00017737	0.00025317	0.764026604190493	0.86170947741364	0.594436178366924	-0.0860000000000003	-0.267273299046717	-0.762816761105914
HanXRQChr15g0489551	69.746	46.93	92.092	HanXRQChr15g0489551	155.48	154.3	157.94	19.2	18.542	19.572	24	25.4	23.3	4.8	6.858	3.728	0.00036615	0.0033449	0.00016593	0.448585027013121	0.304147764095917	0.583082183107509	1.03	0.278934419011592	0.0336385335672633
HanXRQChr16g0526641	10.069	7.0297	15.457	HanXRQChr16g0526641	20.832	18.214	23.74	0.252	5.152	0.795000000000002	25.2	22.4	26.1	-0.252	-5.152	1.305	0.00090083	0.018078	0.00028606	0.483342933947773	0.385950367848907	0.651095197978096	-4.357	0.265144830129189	0.382272145753869
HanXRQChr17g0548061	41.703	32.981	50.363	HanXRQChr17g0548061	51.46	51.399	51.774	16.685	16.969	16.472	23.5	23.9	23.2	6.815	6.931	6.728	0.00023458	0.00011443	0.00020597	0.810396424407307	0.641666180275881	0.972746938617839	-0.496999999999996	0.331080758341958	0.0104874923236473
