	Beta	Beta.E	Beta.W	GeneID	MeanExpLev	MeanExpLev.E	MeanExpLev.W	PeakPhase	PeakPhase.E	PeakPhase.W	Period	Period.E	Period.W	Phase	Phase.E	Phase.W	pMMC.Beta	pMMC.Beta.E	pMMC.Beta.W	RelAmp	RelAmp.E	RelAmp.W	phase.diff	amp.diff	exp.diff.log2
HanXRQChr04g0105441	27.205	35.915	NA	HanXRQChr04g0105441	146.6	143.93	NA	7.874	9.234	NA	25.4	24.3	NA	-7.874	-9.234	NA	0.0026074	0.00084366	NA	0.185572987721692	0.249531022024595	NA	NA	NA	NA
HanXRQChr04g0111521	17.439	24.732	NA	HanXRQChr04g0111521	112.64	110.3	NA	12.426	11.5	NA	21.8	23	NA	9.374	11.5	NA	0.016432	0.00090655	NA	0.154820667613636	0.224224841341795	NA	NA	NA	NA
HanXRQChr06g0172161	5.6809	7.6036	3.7623	HanXRQChr06g0172161	21.464	19.762	22.746	6.656	8.54	3.627	25.6	24.4	27.9	-6.656	-8.54	-3.627	0.0014767	0.00051629	0.17917	0.264671077152441	0.384758627669264	0.165404906357162	-4.913	-0.219353721312103	0.202883901043755
HanXRQChr07g0198151	9.0526	10.992	NA	HanXRQChr07g0198151	34.154	32.379	NA	4.726	6.966	NA	27.8	25.8	NA	-4.726	-6.966	NA	0.0047698	0.00063638	NA	0.26505240967383	0.33947929213379	NA	NA	NA	NA
HanXRQChr08g0210601	6.5883	9.1259	3.5992	HanXRQChr08g0210601	26.196	25.089	26.935	8.33	8.82	7.595	24.5	24.5	24.5	-8.33	-8.82	-7.595	0.00088082	0.00020597	0.11267	0.251500229042602	0.363741081748974	0.133625394468164	-1.225	-0.23011568728081	0.102427096374604
HanXRQChr09g0258721	2.9081	3.2274	NA	HanXRQChr09g0258721	11.566	11.469	NA	6.966	8.33	NA	25.8	24.5	NA	-6.966	-8.33	NA	0.00082079	0.00090655	NA	0.251435241224278	0.281402040282501	NA	NA	NA	NA
HanXRQChr09g0265371	8.9791	12.346	NA	HanXRQChr09g0265371	44.871	43.353	NA	7.056	8.748	NA	25.2	24.3	NA	-7.056	-8.748	NA	0.0034718	0.00094657	NA	0.200109201934434	0.284778446704957	NA	NA	NA	NA
HanXRQChr09g0274481	7.8954	10.696	NA	HanXRQChr09g0274481	38.566	36.946	NA	7.626	9.204	NA	24.6	23.6	NA	-7.626	-9.204	NA	0.007094	0.00081507	NA	0.204724368614842	0.289503599848427	NA	NA	NA	NA
HanXRQChr10g0293651	2.2634	3.0202	1.3982	HanXRQChr10g0293651	11.117	11.24	10.911	9.8	9.84	10.32	24.5	24.6	24	-9.8	-9.84	-10.32	0.0012695	0.00042192	0.11233	0.203598093010704	0.268701067615658	0.128145907799468	0.48	-0.14055515981619	-0.0428587039315155
HanXRQChr10g0304821	67.284	73.051	NA	HanXRQChr10g0304821	291.26	290.17	NA	5.911	7.105	NA	25.7	24.5	NA	-5.911	-7.105	NA	0.00026604	0.0001459	NA	0.231010094074023	0.251752420994589	NA	NA	NA	NA
HanXRQChr11g0345891	3.6102	4.3499	NA	HanXRQChr11g0345891	11.824	11.651	NA	7.77	9.065	NA	25.9	24.5	NA	-7.77	-9.065	NA	0.00080221	0.0008308	NA	0.305328146143437	0.373349927044889	NA	NA	NA	NA
HanXRQChr11g0353771	35.038	43.235	NA	HanXRQChr11g0353771	117.15	114.4	NA	7.953	8.968	NA	24.1	23.6	NA	-7.953	-8.968	NA	0.0019808	0.00048626	NA	0.299086641058472	0.377928321678322	NA	NA	NA	NA
HanXRQChr12g0381461	48.546	67.023	NA	HanXRQChr12g0381461	215.69	211.43	NA	8.224	9.633	NA	25.7	24.7	NA	-8.224	-9.633	NA	0.0051941	0.00093799	NA	0.225073021465993	0.316998533793691	NA	NA	NA	NA
HanXRQChr14g0450821	10.073	12.374	NA	HanXRQChr14g0450821	42.517	40.642	NA	7.337	8.019	NA	25.3	24.3	NA	-7.337	-8.019	NA	0.0020465	0.00082651	NA	0.23691699790672	0.304463363023473	NA	NA	NA	NA
HanXRQChr15g0468251	9.7424	14.089	NA	HanXRQChr15g0468251	59.413	58.096	NA	5.022	7.874	NA	27.9	25.4	NA	-5.022	-7.874	NA	0.0066805	0.00064925	NA	0.163977580664164	0.242512393280088	NA	NA	NA	NA
HanXRQChr15g0485961	13.197	17.69	NA	HanXRQChr15g0485961	85.605	84.394	NA	7.812	9.399	NA	25.2	24.1	NA	-7.812	-9.399	NA	0.0031823	0.00066641	NA	0.154161555983879	0.209612057729222	NA	NA	NA	NA
HanXRQChr15g0490211	5.2197	5.7695	NA	HanXRQChr15g0490211	27.965	28.272	NA	16.409	17.608	NA	26.9	24.8	NA	10.491	7.192	NA	0.00045766	0.00047196	NA	0.186651171106741	0.20407116581777	NA	NA	NA	NA
HanXRQChr16g0519201	11.34	15.031	NA	HanXRQChr16g0519201	45.163	43.753	NA	6.993	8.991	NA	25.9	24.3	NA	-6.993	-8.991	NA	0.0023805	0.00059492	NA	0.251090494431282	0.343542157109227	NA	NA	NA	NA
