	Beta	Beta.E	Beta.W	GeneID	MeanExpLev	MeanExpLev.E	MeanExpLev.W	PeakPhase	PeakPhase.E	PeakPhase.W	Period	Period.E	Period.W	Phase	Phase.E	Phase.W	pMMC.Beta	pMMC.Beta.E	pMMC.Beta.W	RelAmp	RelAmp.E	RelAmp.W	phase.diff	amp.diff	exp.diff.log2
HanXRQChr04g0096831	6.2184	NA	9.6016	HanXRQChr04g0096831	29.602	NA	32.985	22.533	NA	22.95	25.9	NA	25.5	3.367	NA	2.55	0.0046374	NA	0.00099945	0.210066887372475	NA	0.291089889343641	NA	NA	NA
HanXRQChr05g0146821	8.8688	NA	12.284	HanXRQChr05g0146821	9.8866	NA	10.627	17.22	NA	17.39	24.6	NA	23.5	7.38	NA	6.11	0.00044908	NA	0.00059921	0.89705257621427	NA	1.15592359085349	NA	NA	NA
HanXRQChr06g0170151	61.885	NA	102.38	HanXRQChr06g0170151	215.68	NA	237.23	20.368	NA	21.165	26.8	NA	24.9	6.432	NA	3.735	0.0013738	NA	0.00024316	0.286929710682493	NA	0.431564304683219	NA	NA	NA
HanXRQChr09g0276071	157	NA	192.46	HanXRQChr09g0276071	373.86	NA	398.79	20.559	NA	21.156	26.7	NA	25.8	6.141	NA	4.644	0.00017165	NA	8.8688e-05	0.419943294281282	NA	0.48260989493217	NA	NA	NA
HanXRQChr09g0276701	13.925	NA	15.079	HanXRQChr09g0276701	27.336	NA	29.477	22.058	NA	22.016	26.9	NA	25.6	4.842	NA	3.584	0.0013167	NA	0.00070786	0.509401521802751	NA	0.511551379041286	NA	NA	NA
HanXRQChr10g0287241	72.948	NA	96.846	HanXRQChr10g0287241	197.07	NA	209.97	21.484	NA	22.41	26.2	NA	24.9	4.716	NA	2.49	0.0028371	NA	0.00039189	0.370162886284061	NA	0.461237319617088	NA	NA	NA
HanXRQChr13g0393341	2.3634	1.7388	3.0203	HanXRQChr13g0393341	14.787	14.666	14.996	9.576	9.25	9.799	25.2	25	23.9	-9.576	-9.25	-9.799	0.0094016	0.19301	0.00041334	0.159829580036519	0.118559934542479	0.201407041877834	0.548999999999999	0.0828471073353549	0.0321022862476082
HanXRQChr13g0414891	4.8366	NA	6.7439	HanXRQChr13g0414891	13.674	NA	13.433	18.009	NA	17.608	26.1	NA	24.8	8.091	NA	7.192	0.0020593	NA	0.00053201	0.353707766564283	NA	0.502039752847465	NA	NA	NA
HanXRQChr15g0465211	5.7541	NA	7.1964	HanXRQChr15g0465211	17.35	NA	18.625	19.462	NA	19.992	26.3	NA	23.8	6.838	NA	3.808	0.00017308	NA	0.00012016	0.331648414985591	NA	0.38638389261745	NA	NA	NA
HanXRQChr15g0474431	4.1562	NA	5.4588	HanXRQChr15g0474431	10.735	NA	11.026	16.17	NA	16.45	24.5	NA	23.5	8.33	NA	7.05	0.00073788	NA	0.00054774	0.387163483931067	NA	0.495084346091058	NA	NA	NA
HanXRQChr15g0475521	301.28	NA	320.77	HanXRQChr15g0475521	622.69	NA	624.41	21.303	NA	21.87	26.3	NA	24.3	4.997	NA	2.43	0.00029464	NA	0.00013589	0.483836258812571	NA	0.513716948799667	NA	NA	NA
HanXRQChr16g0505131	2.4295	1.5323	3.5007	HanXRQChr16g0505131	15.67	15.718	15.632	8.296	8.853	8.47	24.4	22.7	24.2	-8.296	-8.853	-8.47	0.0025404	0.14405	8.8688e-05	0.155041480536056	0.097486957628197	0.223944472876151	-0.382999999999999	0.126457515247955	-0.00791528451305846
HanXRQChr16g0508451	36.614	NA	38.141	HanXRQChr16g0508451	130.14	NA	134.71	18.792	NA	18.696	26.1	NA	24.6	7.308	NA	5.904	0.00036043	NA	0.00055203	0.281343168895036	NA	0.283134140004454	NA	NA	NA
