GeneID	MeanExpLev	Period	Phase	Beta	pMMC-Beta
HanXRQChr04g0128111	8.0015E+01	2.3600E+01	1.8880E+00	2.5921E+01	8.5830E-06
HanXRQChr11g0334041	7.5904E+01	2.4100E+01	1.0604E+01	3.0052E+01	8.5830E-06
HanXRQChr06g0172311	1.4725E+01	2.3900E+01	1.0516E+01	8.7409E+00	8.5830E-06
HanXRQChr15g0480851	4.4232E+01	2.4200E+01	-1.1616E+01	2.8634E+01	1.1444E-05
HanXRQChr05g0140541	5.0279E+01	2.4600E+01	-1.2054E+01	3.4931E+01	1.1444E-05
HanXRQChr02g0045441	4.8079E+00	2.4300E+01	-8.9910E+00	2.2653E+00	1.1444E-05
HanXRQChr03g0091961	1.5168E+01	2.4300E+01	-1.1664E+01	9.0736E+00	1.1444E-05
HanXRQChr17g0550901	3.0013E+01	2.3500E+01	1.8800E+00	9.8130E+00	1.2875E-05
HanXRQChr01g0009721	9.4532E+01	2.3700E+01	-1.1139E+01	7.9959E+01	1.2875E-05
HanXRQChr12g0379791	1.2112E+01	2.3900E+01	1.0994E+01	7.7750E+00	1.4305E-05
HanXRQChr13g0400991	1.3585E+01	2.4400E+01	-1.0980E+01	6.7638E+00	1.4305E-05
HanXRQChr05g0138931	9.6003E+00	2.4800E+01	-1.2400E+01	5.6395E+00	1.4305E-05
HanXRQChr12g0353981	6.5056E+00	2.3500E+01	1.1045E+01	2.9198E+00	1.4305E-05
HanXRQChr05g0157031	1.4947E+01	2.3800E+01	2.3800E+00	4.9173E+00	1.5736E-05
HanXRQChr09g0255521	5.8756E+00	2.4400E+01	7.3200E-01	3.9212E+00	1.5736E-05
HanXRQChr10g0291511	1.6850E+01	2.3600E+01	1.0384E+01	9.5881E+00	1.5736E-05
HanXRQChr14g0433631	6.0773E+01	2.4600E+01	-1.0824E+01	1.2358E+01	1.7166E-05
HanXRQChr13g0411581	4.1875E+01	2.3400E+01	-9.5940E+00	2.0162E+01	1.7166E-05
HanXRQChr09g0242411	4.2569E+01	2.4100E+01	-1.0604E+01	2.6342E+01	1.7166E-05
HanXRQChr14g0446221	4.7703E+01	2.3500E+01	-1.1750E+00	2.5461E+01	1.7166E-05
HanXRQChr11g0335191	1.0058E+01	2.3600E+01	1.1328E+01	7.3952E+00	1.7166E-05
HanXRQChr16g0511231	6.3065E+01	2.4100E+01	1.9280E+00	2.8791E+01	1.7166E-05
HanXRQChr13g0405151	3.0575E+01	2.4400E+01	-1.1956E+01	1.5906E+01	1.7166E-05
HanXRQChr11g0324861	6.3765E+01	2.4000E+01	-1.0320E+01	2.8875E+01	1.7166E-05
HanXRQChr06g0183031	5.5353E+01	2.3900E+01	-1.0038E+01	2.5996E+01	1.7166E-05
HanXRQChr09g0269801	2.3165E+01	2.4500E+01	1.1760E+01	1.4408E+01	1.7166E-05
HanXRQChr06g0184051	2.0674E+01	2.4200E+01	4.8400E-01	6.7058E+00	1.8596E-05
HanXRQChr17g0559761	6.9817E+01	2.3900E+01	-1.0755E+01	2.3051E+01	2.0027E-05
HanXRQChr11g0333721	2.6144E+01	2.3600E+01	-8.9680E+00	1.3527E+01	2.0027E-05
HanXRQChr13g0390701	2.3622E+01	2.3900E+01	9.5600E-01	9.3380E+00	2.0027E-05
HanXRQChr11g0351991	2.8363E+01	2.3200E+01	1.6240E+00	9.6358E+00	2.0027E-05
HanXRQChr03g0089801	2.6937E+01	2.3900E+01	2.3900E+00	1.3291E+01	2.0027E-05
HanXRQChr08g0207711	4.2594E+01	2.3600E+01	-9.4400E+00	1.9874E+01	2.0027E-05
HanXRQChr03g0089741	5.5591E+01	2.4100E+01	-1.2050E+00	2.5346E+01	2.0027E-05
HanXRQChr06g0177231	2.1206E+00	2.4000E+01	-1.1280E+01	1.8011E+00	2.0027E-05
HanXRQChr12g0384461	3.4861E+00	2.3300E+01	1.0485E+01	1.1732E+00	2.0027E-05
HanXRQChr16g0518311	1.7356E+01	2.4400E+01	-2.4400E-01	1.2412E+01	2.0027E-05
HanXRQChr17g0549031	4.7771E+01	2.3300E+01	-9.7860E+00	2.6476E+01	2.0027E-05
HanXRQChr06g0179331	1.0667E+01	2.3700E+01	1.4220E+00	7.9645E+00	2.0027E-05
HanXRQChr15g0483021	4.2421E+01	2.3200E+01	-1.0672E+01	2.2295E+01	2.1457E-05
HanXRQChr07g0190481	2.4091E+01	2.4600E+01	1.0824E+01	9.4580E+00	2.1457E-05
HanXRQChr11g0320311	4.2601E+01	2.3400E+01	-1.1232E+01	1.2720E+01	2.1457E-05
HanXRQChr17g0535501	5.5088E+00	2.3400E+01	7.9560E+00	3.9068E+00	2.1457E-05
HanXRQChr04g0126811	6.5022E+00	2.4100E+01	1.0845E+01	5.0485E+00	2.2888E-05
HanXRQChr01g0004971	2.5921E+01	2.4700E+01	4.9400E-01	1.1410E+01	2.2888E-05
HanXRQChr15g0477551	1.0029E+01	2.4700E+01	-1.1362E+01	5.5775E+00	2.2888E-05
HanXRQChr07g0207221	1.9976E+01	2.4000E+01	1.0560E+01	1.3563E+01	2.2888E-05
HanXRQChr13g0386461	1.9518E+01	2.3300E+01	-9.7860E+00	1.3737E+01	2.2888E-05
HanXRQChr12g0367131	1.2692E+01	2.5100E+01	-1.1295E+01	6.0019E+00	2.2888E-05
HanXRQChr01g0008871	3.2581E+01	2.3000E+01	-8.9700E+00	1.3158E+01	2.2888E-05
HanXRQChr09g0256091	6.4962E+01	2.4700E+01	-2.4700E+00	2.7035E+01	2.2888E-05
HanXRQChr12g0378531	9.3424E+00	2.4500E+01	-1.1270E+01	2.9004E+00	2.2888E-05
HanXRQChr16g0522631	5.0903E+00	2.3400E+01	-1.1466E+01	4.6998E+00	2.2888E-05
HanXRQChr11g0343671	1.1014E+01	2.4600E+01	-1.1070E+01	3.2000E+00	2.2888E-05
HanXRQChr17g0559981	1.0597E+01	2.3800E+01	1.1424E+01	9.1877E+00	2.2888E-05
HanXRQChr03g0090071	3.2449E+01	2.3400E+01	3.2760E+00	7.2872E+00	2.2888E-05
HanXRQChr12g0374461	1.0035E+01	2.3600E+01	9.6760E+00	5.5207E+00	2.2888E-05
