GeneID	MeanExpLev	Period	Phase	Beta	pMMC-Beta
HanXRQChr06g0169561	9.5344E+00	2.3900E+01	1.1472E+01	6.4936E+00	8.5830E-06
HanXRQChr04g0100351	7.2362E+01	2.5900E+01	-1.1914E+01	1.4435E+01	8.5830E-06
HanXRQChr12g0353981	6.5327E+00	2.3500E+01	1.1280E+01	2.9703E+00	1.0014E-05
HanXRQChr04g0128111	7.9450E+01	2.3600E+01	1.8880E+00	2.4989E+01	1.0014E-05
HanXRQChr13g0400991	1.3606E+01	2.4200E+01	-1.1132E+01	6.5429E+00	1.1444E-05
HanXRQChr13g0388101	1.2974E+02	2.3400E+01	1.0998E+01	8.4712E+01	1.1444E-05
HanXRQChr14g0451121	2.5433E+01	2.4100E+01	3.3740E+00	9.6587E+00	1.1444E-05
HanXRQChr15g0497381	1.1936E+01	2.3600E+01	-1.0856E+01	6.0174E+00	1.1444E-05
HanXRQChr03g0091961	1.4807E+01	2.4300E+01	-1.1421E+01	8.7927E+00	1.1444E-05
HanXRQChr17g0559761	7.0398E+01	2.3800E+01	-1.0710E+01	2.3760E+01	1.1444E-05
HanXRQChr15g0480851	4.3572E+01	2.4200E+01	-1.1616E+01	2.7153E+01	1.1444E-05
HanXRQChr11g0336031	2.6048E+01	2.4500E+01	1.1515E+01	9.7941E+00	1.2875E-05
HanXRQChr09g0273621	8.6460E+01	2.3500E+01	2.8200E+00	2.7091E+01	1.2875E-05
HanXRQChr01g0008871	3.3109E+01	2.3000E+01	-8.9700E+00	1.3329E+01	1.2875E-05
HanXRQChr15g0477551	1.0003E+01	2.4000E+01	-1.1760E+01	5.2498E+00	1.2875E-05
HanXRQChr13g0388891	2.9395E+01	2.4100E+01	-1.0363E+01	1.4441E+01	1.4305E-05
HanXRQChr14g0451481	2.0944E+01	2.2700E+01	-1.0896E+01	5.1988E+00	1.4305E-05
HanXRQChr03g0089251	1.0507E+01	2.3000E+01	-9.6600E+00	4.2959E+00	1.4305E-05
HanXRQChr10g0311851	4.1889E+01	2.4000E+01	-1.1760E+01	1.3101E+01	1.4305E-05
HanXRQChr11g0320311	4.2809E+01	2.4000E+01	-1.1040E+01	1.1656E+01	1.4305E-05
HanXRQChr12g0357921	3.6701E+01	2.4000E+01	-9.3600E+00	1.6717E+01	1.4305E-05
HanXRQChr10g0294811	3.1132E+01	2.4700E+01	3.9520E+00	1.5706E+01	1.4305E-05
HanXRQChr01g0009721	9.6604E+01	2.3700E+01	-1.1139E+01	8.4005E+01	1.4305E-05
HanXRQChr09g0253601	9.4335E+01	2.4000E+01	1.0560E+01	4.5723E+01	1.4305E-05
HanXRQChr05g0156821	2.9282E+01	2.4500E+01	3.4300E+00	1.5458E+01	1.5736E-05
HanXRQChr05g0140541	5.0019E+01	2.4100E+01	1.1809E+01	3.5215E+01	1.5736E-05
HanXRQChr15g0486931	9.9782E+00	2.3500E+01	8.4600E+00	5.6880E+00	1.5736E-05
HanXRQChr10g0301491	4.6245E+01	2.2900E+01	1.1450E+00	8.9911E+00	1.5736E-05
HanXRQChr06g0172341	1.2487E+01	2.4200E+01	-1.0890E+01	6.0944E+00	1.5736E-05
HanXRQChr17g0560791	1.0031E+01	2.3900E+01	-1.0516E+01	5.3484E+00	1.5736E-05
HanXRQChr08g0210361	9.5607E+00	2.3900E+01	-1.0755E+01	5.1764E+00	1.5736E-05
HanXRQChr06g0179331	1.0193E+01	2.3700E+01	1.4220E+00	7.0552E+00	1.5736E-05
HanXRQChr03g0090391	2.0672E+01	2.3900E+01	-9.0820E+00	7.3383E+00	1.7166E-05
HanXRQChr10g0291511	1.6725E+01	2.3600E+01	1.0148E+01	9.5803E+00	1.7166E-05
HanXRQChr16g0515901	1.0513E+02	2.4300E+01	2.4300E-01	3.2914E+01	1.7166E-05
