Time	TempC
-0.6333333	17
-0.6333333	17
0.36666667	15
0.36666667	17
1.36666667	17
1.36666667	18
2.36666667	18
2.36666667	19
3.36666667	20
3.36666667	22
4.36666667	23
4.36666667	24
5.36666667	25
5.36666667	26
6.36666667	28
6.36666667	29
7.36666667	29
7.36666667	31
8.36666667	31
8.36666667	33
9.36666667	32
9.36666667	34
10.3666667	32
10.3666667	34
11.3666667	32
11.3666667	34
12.3666667	29
12.3666667	33
13.3666667	27
13.3666667	30
14.3666667	24
14.3666667	26
15.3666667	22
15.3666667	23
16.3666667	21
16.3666667	21
17.3666667	20
17.3666667	21
18.3666667	20
18.3666667	20
19.3666667	19
19.3666667	19
20.3666667	19
20.3666667	19
21.3666667	19
21.3666667	18
22.3666667	18
22.3666667	18
23.3666667	17
23.3666667	17
24.3666667	15
24.3666667	17
