	Beta	Beta.E	Beta.W	GeneID	MeanExpLev	MeanExpLev.E	MeanExpLev.W	PeakPhase	PeakPhase.E	PeakPhase.W	Period	Period.E	Period.W	Phase	Phase.E	Phase.W	pMMC.Beta	pMMC.Beta.E	pMMC.Beta.W	RelAmp	RelAmp.E	RelAmp.W	phase.diff	amp.diff	exp.diff.log2
HanXRQChr01g0005401	7.8538	5.2828	9.7278	HanXRQChr01g0005401	8.3789	6.3379	9.7495	8.92	9.675	8.92	22.3	21.5	22.3	-8.92	-9.675	-8.92	0.010954	0.019797	0.006052	0.937330675864374	0.833525300178292	0.997774244833068	-0.755000000000001	0.164248944654776	0.621323335686429
HanXRQChr01g0027741	5.0106	3.5539	6.4265	HanXRQChr01g0027741	3.404	2.6742	4.1624	16.259	16.416	16.1	22.9	22.8	23	6.641	6.384	6.9	0.0066591	0.0040405	0.0090713	1.4719741480611	1.32895819310448	1.54394099557947	-0.315999999999999	0.214982802474994	0.638308245642882
HanXRQChr02g0037741	2.5862	3.206	1.9612	HanXRQChr02g0037741	3.2637	4.0214	2.5051	13.338	13.365	13.446	24.7	24.3	24.9	11.362	10.935	11.454	0.0002546	0.00042335	0.00028606	0.792413518399363	0.797234793852887	0.782882918845555	0.0809999999999977	-0.014351875007332	-0.68282965015791
HanXRQChr02g0048821	23.14	16.56	29.665	HanXRQChr02g0048821	25.093	19.728	30.499	20.296	20.296	20.296	23.6	23.6	23.6	3.304	3.304	3.304	0.00013017	8.2966e-05	0.00030036	0.922169529350815	0.83941605839416	0.972654841142333	0	0.133238782748172	0.628517235569933
HanXRQChr03g0083901	12.455	16.604	8.4601	HanXRQChr03g0083901	9.6533	12.236	6.9812	0.49	0.244	0.747	24.5	24.4	24.9	-0.49	-0.244	-0.747	0.0016652	0.0017295	0.011718	1.29023235577471	1.35697940503432	1.21184037128287	0.503	-0.145139033751451	-0.80958506397846
HanXRQChr03g0084631	4.4507	5.8293	3.1728	HanXRQChr03g0084631	6.6406	8.001	5.2532	10.604	10.428	11.568	24.1	23.7	24.1	-10.604	-10.428	-11.568	0.00015448	0.00030751	0.00012016	0.670225582025721	0.728571428571429	0.603974720170563	1.14	-0.124596708400866	-0.606983813739589
HanXRQChr03g0085421	39.606	50.69	29.1	HanXRQChr03g0085421	30.471	37.481	23.086	0.492	0.244	1.24	24.6	24.4	24.8	-0.492	-0.244	-1.24	0.0012124	0.00057777	0.011183	1.29979324603722	1.35241855873643	1.26050420168067	0.996	-0.0919143570557539	-0.699141218935017
HanXRQChr08g0221991	1.9252	2.5289	1.3109	HanXRQChr08g0221991	1.3282	1.7257	0.9192	0.245	0.241	0.738	24.5	24.1	24.6	-0.245	-0.241	-0.738	0.0034789	0.0013067	0.02588	1.44948049992471	1.46543431650924	1.42613141862489	0.497	-0.0393028978843515	-0.908730981506911
HanXRQChr10g0305591	8.0431	12.063	4.0369	HanXRQChr10g0305591	4.9682	7.4044	2.5544	12.508	12.272	12.925	23.6	23.6	23.5	11.092	11.328	10.575	0.0017866	0.0016209	0.0024462	1.61891630771708	1.62916644157528	1.58037112433448	0.652999999999999	-0.0487953172407978	-1.53539837646778
HanXRQChr12g0362581	0.34763	0.52297	0.19298	HanXRQChr12g0362581	0.52399	0.71208	0.34057	8.307	8.56	7.276	21.3	21.4	21.4	-8.307	-8.56	-7.276	0.001541	0.0039122	0.0055527	0.66342869138724	0.734425907201438	0.566638282878703	-1.284	-0.167787624322735	-1.06408797560799
HanXRQChr14g0455351	0.30983	0.36341	0.30107	HanXRQChr14g0455351	0.63329	0.76486	0.50043	17.52	16.344	18.779	21.9	22.7	21.1	4.38	6.356	2.321	0.045527	0.043402	0.032331	0.489238737387295	0.475132704024266	0.601622604560078	2.435	0.126489900535812	-0.612027421601965
HanXRQChr15g0476671	6.8809	9.7287	3.9552	HanXRQChr15g0476671	9.0061	11.29	6.6537	10.062	10.105	10.019	23.4	23.5	23.3	-10.062	-10.105	-10.019	0.00016879	0.00017737	0.00025317	0.764026604190493	0.86170947741364	0.594436178366924	-0.0860000000000003	-0.267273299046717	-0.762816761105914
HanXRQChr16g0498401	1.5842	1.015	2.2173	HanXRQChr16g0498401	1.4209	1.0727	1.7867	5.6	4.788	6.021	22.4	22.8	22.3	-5.6	-4.788	-6.021	0.0064374	0.027645	0.0046958	1.11492715884299	0.946210496877039	1.24100296636257	1.233	0.294792469485529	0.736050758979629
HanXRQChr16g0499491	19.259	24.793	13.665	HanXRQChr16g0499491	14.152	17.797	10.654	11.52	11.52	11.75	24	24	23.5	-11.52	-11.52	11.75	0.00037902	0.0004834	0.00047482	1.36086772187677	1.39309996066753	1.2826168575183	0.23	-0.110483103149225	-0.740238883837842
HanXRQChr16g0527831	1.354	0.66981	2.1196	HanXRQChr16g0527831	1.7091	1.3274	2.097	20.554	21.336	20.184	23.9	25.4	23.2	3.346	4.064	3.016	0.00034041	0.017103	0.00036043	0.792229828564742	0.504602983275576	1.01077730090606	-1.152	0.50617431763048	0.659723682091134
HanXRQChr16g0531331	1.7936	2.5034	1.1738	HanXRQChr16g0531331	2.7018	3.4013	1.9982	10.731	10.166	11.76	21.9	22.1	24	-10.731	-10.166	-11.76	0.00041191	0.00022457	0.00063495	0.663853727144866	0.736012701026078	0.587428685817236	1.594	-0.148584015208843	-0.767385269804544
HanXRQChr17g0554081	1.0709	1.6059	0.57433	HanXRQChr17g0554081	0.79668	1.1804	0.41518	11.52	11.07	12.921	24	24.6	21.9	-11.52	-11.07	8.979	8.0106e-05	0.00010728	0.00027891	1.34420344429382	1.36047102677059	1.38332771328099	1.851	0.0228566865104003	-1.5074669727287
